"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 11 16:05:47 CEST 2023","Tue Jul 11 16:05:47 CEST 2023","2","","My Login application","","","","Testing ""Resources"" block work",""
"passed","Thu Jun 15 09:55:14 CEST 2023","Thu Jun 15 09:55:16 CEST 2023","1087","","My Login application","","","","Verify registering form with valid credentials",""
"passed","Tue Jul 11 16:03:49 CEST 2023","Tue Jul 11 16:03:55 CEST 2023","6408","","My Login application","","","","Verify ""Become a Telnyx partner"" form with valid credentials",""
"passed","Tue Jul 11 16:08:51 CEST 2023","Tue Jul 11 16:08:57 CEST 2023","6149","","My Login application","","","","Checking ""Read about what our customers are building"" block content",""
"passed","Fri Jun 16 19:15:06 CEST 2023","Fri Jun 16 19:15:08 CEST 2023","2739","","My Login application","","","","should login with valid credentials",""
"broken","Tue Jul 11 16:02:39 CEST 2023","Tue Jul 11 16:02:39 CEST 2023","1","","My Login application","","","","Verify contact us form with valid credentials",""
"failed","Sat Jun 17 13:43:28 CEST 2023","Sat Jun 17 13:43:28 CEST 2023","2","","My Login application","","","","Testing ""Frequently Asked Questions"" block work",""
"passed","Thu Jun 22 21:19:00 CEST 2023","Thu Jun 22 21:19:06 CEST 2023","6059","","My Login application","","","","Checking correct links in the ""Communications"", ""Wireless"", ""Networking"" and ""Storage"" block",""
"passed","Tue Jul 11 16:08:35 CEST 2023","Tue Jul 11 16:08:42 CEST 2023","6943","","My Login application","","","","Checking ""RELATED RESOURCES"" block content",""
"failed","Tue Jul 11 16:04:28 CEST 2023","Tue Jul 11 16:04:28 CEST 2023","2","","My Login application","","","","Verify ""Download Your Voice API eBook"" form with valid credentials",""
"passed","Tue Jul 11 16:03:31 CEST 2023","Tue Jul 11 16:03:36 CEST 2023","5903","","My Login application","","","","Checking correct the Industries block work",""
"passed","Fri Jun 09 18:36:04 CEST 2023","Fri Jun 09 18:36:12 CEST 2023","7493","","My Login application","","","","should switch to another window",""
"passed","Wed May 24 13:39:09 CEST 2023","Wed May 24 13:39:13 CEST 2023","4446","","My Login application","","","","should login with valid credentials",""
"unknown","Wed Jun 07 22:27:52 CEST 2023","Wed Jun 07 22:27:52 CEST 2023","40","","My Login application","","","","should login with valid credentials",""
"passed","Sat Jun 17 11:47:51 CEST 2023","Sat Jun 17 11:47:52 CEST 2023","1141","","My Login application","","","","Checking correct the Industries block work",""
"passed","Wed Jun 14 11:35:51 CEST 2023","Wed Jun 14 11:35:57 CEST 2023","6016","","My Login application","","","","Should login with valid credentials",""
"broken","Wed Jun 07 20:34:52 CEST 2023","Wed Jun 07 20:34:52 CEST 2023","18","","My Login application","","","","""before each"" hook for My Login application",""
